0,6052,8704,1268,4745,4925,3965,2644,4148,1768,2650,3730,8845
6052,0,740,1808,5353,349,8101,1952,272,2900,1042,3530,3285
8704,740,0,3764,4265,541,7453,2196,1780,6120,1754,2962,1325
1268,1808,3764,0,3961,1469,4805,1040,832,596,538,2482,5237
4745,5353,4265,3961,0,2980,520,1073,5465,7589,2165,205,1576
4925,349,541,1469,2980,0,5220,757,637,3265,365,1685,1732
3965,8101,7453,4805,520,5220,0,2125,7621,8377,3545,1025,3904
2644,1952,2196,1040,1073,757,2125,0,1744,3204,194,346,1853
4148,272,1780,832,5465,637,7621,1744,0,1396,778,3554,4469
1768,2900,6120,596,7589,3265,8377,3204,1396,0,2138,5506,9065
2650,1042,1754,538,2165,365,3545,194,778,2138,0,1040,2425
3730,3530,2962,2482,205,1685,1025,346,3554,5506,1040,0,1313
8845,3285,1325,5237,1576,1732,3904,1853,4469,9065,2425,1313,0
